location,new_deaths,new_cases,new_vaccinations,human_development_index,population_density,gdp_per_capita,extreme_poverty,handwashing_facilities,median_age,aged_65_older,aged_70_older,UrbanPop,Services %,Industry %,Balance Trade(million US$)
Saudi Arabia,3009.0,441023.0,58060875.0,0.8540000000000001,15322.0,49045411.0,0.0,0.0,31.9,3295.0,1845.0,83.1,51.8,46.0,46426.0
Senegal,1583.0,67651.0,330137.0,0.512,82328.0,2470.58,38.0,20859.0,18.7,3008.0,1796.0,43.7,60.4,24.1,-2838.0
Serbia,12958.0,1718768.0,3264684.0,0.8059999999999999,80291.0,14048881.0,0.0,97719.0,41.2,17366.0,0.0,55.6,60.5,31.4,-4379.0
Seychelles,167.0,44960.0,42863.0,0.7959999999999999,208354.0,26382287.0,1.1,0.0,36.2,8606.0,5586.0,53.9,83.8,13.6,-498.0
Sierra Leone,49.0,5111.0,7981.0,0.452,104.7,1390.3,52.2,19275.0,19.1,2538.0,1285.0,39.9,31.1,17.6,-492.0
Singapore,1424.0,1537447.0,14251434.0,0.938,7915731.0,85535383.0,0.0,0.0,42.4,12922.0,7049.0,100.0,73.6,26.4,46862.0
Sint Maarten (Dutch part),0.0,0.0,0.0,0.0,1209088.0,36327232.0,0.0,0.0,0.0,0.0,0.0,100.0,87.6,12.3,-99.0
Slovakia,18034.0,2290574.0,0.0,0.86,113128.0,30155152.0,0.7,0.0,41.2,15.07,9167.0,53.6,61.5,34.8,2409.0
Slovenia,3970.0,938096.0,2975645.0,0.917,102619.0,31400.84,0.0,0.0,44.5,19062.0,12.93,49.7,64.9,32.7,939.0
Solomon Islands,154.0,21530.0,0.0,0.5670000000000001,21841.0,2205923.0,25.1,35.89,20.8,3507.0,2043.0,22.3,56.3,15.6,-17.0
Somalia,1231.0,22186.0,37292.0,0.0,23.5,0.0,0.0,9831.0,16.8,2731.0,1496.0,39.6,32.5,7.4,394.0
South Africa,73126.0,2924004.0,19114533.0,0.7090000000000001,46754.0,12294876.0,18.9,43993.0,27.3,5344.0,3053.0,64.8,68.7,28.9,-633.0
South Sudan,75.0,14175.0,7489.0,0.433,0.0,1569888.0,0.0,0.0,19.2,3441.0,2032.0,18.8,37.4,58.0,1640.0
Spain,58690.0,11236641.0,62965910.0,0.904,93105.0,34272.36,1.0,0.0,45.5,19436.0,13799.0,79.6,73.7,23.6,-20762.0
Sri Lanka,16324.0,621149.0,33589253.0,0.782,341955.0,11669077.0,0.7,0.0,34.1,10069.0,5331.0,18.4,60.6,30.7,-8955.0
Sudan,3487.0,37308.0,45572.0,0.51,23258.0,4466507.0,0.0,23437.0,19.7,3548.0,2034.0,33.8,47.6,20.1,-5861.0
Suriname,1255.0,74709.0,343344.0,0.738,3612.0,13767119.0,0.0,67779.0,29.6,6933.0,4229.0,66.0,61.1,27.4,193.0
Sweden,10480.0,2090787.0,0.0,0.945,24718.0,46949283.0,0.5,0.0,41.0,19985.0,13433.0,85.8,72.4,26.3,-1263.0
Switzerland,6136.0,3409460.0,15777106.0,0.955,214243.0,57410166.0,0.0,0.0,43.1,18436.0,12644.0,73.9,73.8,25.5,35534.0
Syria,2439.0,44539.0,72289.0,0.5670000000000001,0.0,0.0,0.0,70598.0,21.7,0.0,2577.0,57.7,49.3,30.0,-1118.0
Tajikistan,35.0,4121.0,124745.0,0.6679999999999999,64281.0,2896913.0,4.8,72704.0,23.3,3466.0,2155.0,26.8,47.1,28.0,-2132.0
Tanzania,820.0,37001.0,0.0,0.529,64699.0,2683304.0,49.1,47953.0,17.7,3108.0,1874.0,31.6,42.9,26.1,-3134.0
Thailand,31027.0,4563301.0,124537253.0,0.777,135132.0,16277671.0,0.1,90.67,40.1,11373.0,6.89,50.4,55.1,35.7,18260.0
Timor,133.0,22937.0,7881.0,0.606,87176.0,6570102.0,30.3,28178.0,18.0,3556.0,1897.0,32.8,14.9,79.9,-553.0
Togo,207.0,34165.0,0.0,0.515,143366.0,1429813.0,49.2,10475.0,19.4,2839.0,1525.0,40.0,34.6,19.7,-1001.0
Tokelau,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-99.0,-99.0,-1.0
Tonga,12.0,12439.0,0.0,0.725,150028.0,5425621.0,0.0,0.0,22.3,5.82,4032.0,23.7,56.1,21.5,-196.0
Trinidad and Tobago,3911.0,162030.0,1500969.0,0.7959999999999999,266886.0,28763071.0,0.0,89443.0,36.2,10014.0,5819.0,8.4,57.0,42.5,-249.0
Tunisia,24151.0,948463.0,8546232.0,0.74,74228.0,10849297.0,2.0,78687.0,32.7,8001.0,5075.0,66.8,62.0,27.8,-5973.0
Turkey,78207.0,13088887.0,145878293.0,0.82,104914.0,25129341.0,0.2,0.0,31.6,8153.0,5061.0,73.4,65.0,26.4,-55996.0
Turkmenistan,0.0,0.0,0.0,0.715,12253.0,16389023.0,0.0,100.0,26.9,4277.0,2541.0,50.0,35.6,51.0,1125.0
Turks and Caicos Islands,30.0,5362.0,0.0,0.0,37312.0,0.0,0.0,0.0,0.0,0.0,0.0,92.2,89.0,10.4,-385.0
Tuvalu,0.0,0.0,0.0,0.0,373067.0,3575104.0,3.3,0.0,0.0,0.0,0.0,59.7,66.4,7.6,-12.0
Uganda,3382.0,133547.0,704976.0,0.544,213759.0,1697707.0,41.6,21222.0,16.4,2168.0,1308.0,16.1,52.9,21.5,-996.0
Ukraine,97143.0,4202847.0,31551877.0,0.779,77.39,7894393.0,0.1,0.0,41.4,16462.0,11133.0,69.7,59.7,26.3,-2815.0
United Arab Emirates,1656.0,765594.0,20138062.0,0.89,112442.0,67293483.0,0.0,0.0,34.0,1144.0,0.526,85.5,54.4,44.9,-6296.0
United Kingdom,104124.0,19832442.0,147290900.0,0.932,272898.0,39753244.0,0.2,0.0,40.8,18517.0,12527.0,82.6,79.9,19.4,-219713.0
United States,674141.0,69350812.0,593609637.0,0.9259999999999999,35608.0,54225446.0,1.2,0.0,38.3,15413.0,9732.0,81.6,79.3,19.7,-796494.0
United States Virgin Islands,0.0,0.0,0.0,0.0,306.48,0.0,0.0,0.0,42.2,18601.0,10799.0,95.3,-99.0,-99.0,-99.0
Uruguay,7192.0,946251.0,8640344.0,0.8170000000000001,19751.0,20551409.0,0.1,0.0,35.6,14655.0,10361.0,95.3,65.2,28.0,-1173.0
Uzbekistan,1023.0,165080.0,15127072.0,0.72,76134.0,6253104.0,0.0,0.0,28.2,4469.0,2873.0,36.4,47.9,32.9,2295.0
Vanuatu,14.0,11721.0,0.0,0.609,22662.0,2921909.0,13.2,25209.0,23.1,4394.0,2.62,26.1,64.9,8.4,-366.0
Venezuela,4720.0,416844.0,0.0,0.711,36253.0,16745022.0,0.0,0.0,29.0,6614.0,3915.0,89.0,50.0,44.7,3407.0
Vietnam,43240.0,10759130.0,140207439.0,0.7040000000000001,308127.0,6171884.0,2.0,85847.0,32.6,7.15,4718.0,33.6,44.2,37.0,2520.0
Wallis and Futuna,7.0,452.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-99.0,-99.0,-51.0
Western Sahara,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.4,0.0,1.38,80.9,-99.0,-99.0,-99.0
Yemen,1539.0,9749.0,0.0,0.47,53508.0,1479147.0,18.8,49542.0,20.3,2922.0,1583.0,34.6,48.4,36.9,-6291.0
Zambia,3621.0,307269.0,2517495.0,0.584,22995.0,3689251.0,57.5,13938.0,17.7,2.48,1542.0,40.9,59.5,32.3,-937.0
Zimbabwe,5203.0,242216.0,10717522.0,0.5710000000000001,42729.0,1899775.0,21.4,36791.0,19.6,2822.0,1882.0,32.4,56.5,30.5,-2379.0
