location,new_deaths,new_cases,new_vaccinations,human_development_index,population_density,gdp_per_capita,extreme_poverty,handwashing_facilities,median_age,aged_65_older,aged_70_older,UrbanPop,Services %,Industry %,Balance Trade(million US$)
Iran,86276.0,6053336.0,20588423.0,0.7829999999999999,49831.0,19082.62,0.2,0.0,32.4,5.44,3182.0,73.4,52.3,39.1,10294.0
Iraq,12457.0,1809895.0,26828.0,0.674,88125.0,15663986.0,2.5,94576.0,20.0,3186.0,1957.0,69.5,37.4,58.0,-18490.0
Ireland,5337.0,1545404.0,10942194.0,0.955,69874.0,67335293.0,0.2,0.0,38.7,13928.0,8678.0,63.2,57.3,41.7,52318.0
Isle of Man,85.0,36862.0,93324.0,0.0,147872.0,0.0,0.0,0.0,0.0,0.0,0.0,52.2,-99.0,-99.0,-99.0
Israel,7854.0,4086397.0,17208149.0,0.919,402606.0,33132.32,0.5,0.0,30.6,11733.0,7359.0,92.1,77.5,21.2,-5232.0
Italy,95766.0,18038693.0,138756695.0,0.892,205859.0,35220084.0,2.0,0.0,47.9,23021.0,16.24,69.0,74.2,23.5,56951.0
Jamaica,2869.0,131940.0,554843.0,0.7340000000000001,266879.0,8193571.0,0.0,66425.0,31.4,9684.0,6.39,54.8,70.5,22.3,-3565.0
Japan,28106.0,10082890.0,288442003.0,0.919,347778.0,39002223.0,0.0,0.0,48.2,27049.0,18493.0,93.5,72.4,26.4,38008.0
Jordan,10235.0,1408167.0,4276815.0,0.7290000000000001,109285.0,8337.49,0.1,0.0,23.2,3.81,2361.0,83.7,68.4,27.7,-11698.0
Kazakhstan,16552.0,1265565.0,18655980.0,0.825,6681.0,24055588.0,0.1,98999.0,30.6,6991.0,4625.0,53.2,62.5,32.5,11601.0
Kenya,3998.0,240282.0,11113785.0,0.601,87324.0,2993028.0,36.8,24651.0,20.0,2686.0,1528.0,25.6,49.0,19.0,-8420.0
Kiribati,13.0,3240.0,0.0,0.63,143701.0,1981132.0,0.0,0.0,23.2,3895.0,2.21,44.3,62.2,13.6,-113.0
Kuwait,1622.0,497632.0,35636.0,0.8059999999999999,232128.0,65530537.0,0.0,0.0,33.7,2345.0,1114.0,98.3,50.7,48.7,15413.0
Kyrgyzstan,1636.0,120380.0,2442817.0,0.6970000000000001,32333.0,3393474.0,1.4,89.22,26.3,4489.0,2882.0,35.7,58.7,25.9,-2421.0
Laos,758.0,210489.0,2030383.0,0.613,29715.0,6397.36,22.7,49839.0,24.4,4029.0,2322.0,38.6,43.6,32.8,-2447.0
Latvia,5247.0,804076.0,2893379.0,0.866,31212.0,25063846.0,0.7,0.0,43.9,19754.0,14136.0,67.4,73.5,23.3,-2163.0
Lebanon,9021.0,959291.0,5134981.0,0.7440000000000001,594561.0,13367565.0,0.0,0.0,31.1,8514.0,5.43,87.8,77.2,19.6,-17007.0
Lesotho,651.0,30946.0,0.0,0.527,73562.0,2851153.0,59.6,2117.0,22.2,4506.0,2647.0,27.3,61.0,31.3,-1079.0
Liberia,211.0,5827.0,10089.0,0.48,49127.0,752788.0,38.6,1188.0,19.2,3057.0,1756.0,49.7,17.9,11.4,-86.0
Libya,4952.0,402012.0,200655.0,0.7240000000000001,3623.0,17881509.0,0.0,0.0,29.0,4424.0,2816.0,78.6,32.0,67.1,-4261.0
Liechtenstein,42.0,16114.0,58903.0,0.919,237012.0,0.0,0.0,0.0,0.0,0.0,0.0,14.3,59.2,40.1,-99.0
Lithuania,7390.0,1024907.0,4480182.0,0.882,45135.0,29524265.0,0.7,0.0,43.5,19002.0,13778.0,66.5,66.5,29.8,-2476.0
Luxembourg,608.0,229097.0,1213875.0,0.9159999999999999,231447.0,94277965.0,0.2,0.0,39.7,14312.0,9842.0,90.2,87.7,12.1,-6285.0
Madagascar,1145.0,48575.0,13544.0,0.528,43951.0,1416.44,77.6,50.54,19.6,2929.0,1686.0,35.1,56.7,18.4,-709.0
Malawi,2464.0,80348.0,1256993.0,0.483,197519.0,1095042.0,71.4,8704.0,18.1,2979.0,1783.0,16.3,57.3,16.6,-774.0
Malaysia,35384.0,4509971.0,71604445.0,0.81,96254.0,26808164.0,0.1,0.0,29.9,6293.0,3407.0,74.7,51.8,39.6,21039.0
Maldives,259.0,169734.0,772572.0,0.74,1454433.0,15183616.0,0.0,95803.0,30.6,4.12,2875.0,45.5,74.9,22.0,-1988.0
Mali,468.0,24110.0,0.0,0.434,15196.0,2014306.0,0.0,52232.0,16.4,2519.0,1486.0,39.9,40.5,19.6,520.0
Malta,553.0,98193.0,1289118.0,0.895,1454037.0,36513323.0,0.2,0.0,42.4,19426.0,11324.0,95.4,83.6,15.0,-3143.0
Marshall Islands,0.0,45.0,0.0,0.7040000000000001,295.15,3819202.0,0.0,82502.0,0.0,0.0,0.0,72.7,73.3,10.2,-58.0
Mauritania,639.0,47588.0,24659.0,0.546,4289.0,3597633.0,6.0,15.95,20.3,3138.0,1792.0,59.9,37.4,41.7,-551.0
Mauritius,998.0,232697.0,35153.0,0.804,622962.0,20292745.0,0.5,0.0,37.4,10945.0,5884.0,39.7,74.4,22.7,-2461.0
Mexico,196441.0,5022783.0,150684519.0,0.779,66444.0,17336469.0,2.5,87847.0,29.3,6857.0,4321.0,79.2,60.4,36.0,-13181.0
Micronesia (country),0.0,38.0,0.0,0.62,150777.0,3299464.0,16.0,0.0,23.0,4.81,2392.0,22.4,65.8,6.5,-34.0
Monaco,57.0,12950.0,0.0,0.0,19347.5,0.0,0.0,0.0,0.0,0.0,0.0,100.0,86.6,13.4,-99.0
Mongolia,2118.0,930899.0,4415265.0,0.737,1.98,11840846.0,0.5,71.18,28.6,4031.0,2421.0,72.0,51.1,34.1,1559.0
